"phecode"	"case_count"	"prev"	"w"
"292.5"	250	0.0115202064420994	1.93853973828596
"292.6"	226	0.0104142666236579	1.9823713078106
"293"	167	0.00769549790332243	2.11376327581041
"293.1"	1585	0.0730381088429105	1.13645048040423
"295"	865	0.0398599142896641	1.39946363949318
"295.1"	116	0.00534537578913414	2.27202175773108
"295.2"	83	0.00382470853877701	2.41740165458192
"295.3"	722	0.0332703562047832	1.47794254938836
"296"	5315	0.244919588959034	0.61097647809868
"296.1"	536	0.0246993226118612	1.60731495726523
"296.2"	4971	0.229067784894705	0.640035983818997
"296.22"	1115	0.0513801207317635	1.28920487957382
"297"	253	0.0116584489194046	1.93335922578218
"297.1"	181	0.00834062946408	2.07880117208881
"297.2"	101	0.00465416340260817	2.33215837317535
"300"	4365	0.201142804479056	0.696495498916408
"300.1"	3661	0.168701903138104	0.772880018076465
"300.11"	524	0.0241463527026404	1.61714845997427
"300.12"	363	0.0167273397539284	1.77657312192188
"300.13"	43	0.0019814755080411	2.70301129137841
"300.2"	1	4.60808257683978e-05	4.336479746958
"300.3"	86	0.00396295101608221	2.40198129571443
"300.4"	1057	0.0487074328371964	1.31240475965057
"300.8"	134	0.0061748306529653	2.20937494859319
"300.9"	257	0.0118427722224782	1.9265466236267
"301"	157	0.00723468964563845	2.14058009454876
"301.1"	8	0.000368646606147182	3.43338975996605
"301.2"	84	0.00387078936454541	2.41220046089611
"302"	209	0.00963089258559513	2.01633346084694
"302.1"	161	0.00741901294871204	2.12965387092615
"303"	289	0.013317358647067	1.87558190420145
"303.1"	6	0.000276484954610387	3.55832849657435
"303.3"	159	0.00732685129717525	2.13508262263754
"303.31"	85	0.00391687019031381	2.4070608212437
"303.4"	138	0.00635915395603889	2.19660066055676
"304"	1522	0.0701350168195014	1.15406509452344
"305"	24	0.00110593981844155	2.95626850524639
"305.2"	90	0.0041472743191558	2.38223723751867
"305.21"	24	0.00110593981844155	2.95626850524639
"306"	275	0.0126722270863094	1.89714705312773
"306.1"	74	0.00340998110686143	2.46724802722702
"306.9"	131	0.00603658817566011	2.21920845130223
"312"	195	0.00898576102483756	2.04644513559548
"312.3"	43	0.0019814755080411	2.70301129137841
"313"	251	0.0115662872678678	1.93680602547696
"313.1"	186	0.00857103359292198	2.06696680274008
"313.2"	27	0.00124418229574674	2.90511598279901
"313.3"	37	0.00170499055343072	2.768278022891
"315"	447	0.0205981291184738	1.68617222382606
"315.1"	29	0.00133634394728354	2.87408174905904
"315.2"	26	0.00119810146997834	2.92150639898718
"315.3"	113	0.00520713331182895	2.28340130347458
"316"	891	0.0410580157596424	1.38660204292112
"316.1"	116	0.00534537578913414	2.27202175773108
"317"	793	0.0365420948343394	1.43720655964039
"317.1"	628	0.0289387585825538	1.5385201032208
"317.11"	231	0.0106446707524999	1.97286776706585
"318"	2929	0.134970738675637	0.869760375276397
"320"	231	0.0106446707524999	1.97286776706585
"323"	109	0.00502281000875536	2.29905324901737
"323.2"	13	0.000599050734989171	3.22253639465116
"323.8"	76	0.00350214275839823	2.4556661546772
"324"	165	0.00760333625178563	2.11899580274409
"324.1"	1	4.60808257683978e-05	4.336479746958
"325"	22	0.00101377816690475	2.99405706613579
"327"	3587	0.165291922031243	0.781748370282029
"327.1"	292	0.0134556011243721	1.87109689550958
"327.3"	2183	0.100594442652412	0.997426011248857
"327.31"	47	0.00216579881111469	2.66438188902228
"327.32"	1522	0.0701350168195014	1.15406509452344
"327.4"	2396	0.110409658541081	0.956992933240722
"327.41"	241	0.0111054790101839	1.95446270438313
"327.5"	91	0.0041933551449242	2.3774383546369
"327.6"	34	0.00156674807612552	2.80500082991574
"327.7"	588	0.0270955255518179	1.56710242088186
"327.71"	464	0.0213815031565366	1.66996176640312
"327.72"	65	0.00299525367494586	2.52356639031514
"331"	1025	0.0472328464126077	1.32575588156622
"331.1"	325	0.0149762683747293	1.82459638597912
"331.9"	714	0.032901709598636	1.48278153518182
"332"	352	0.016220450670476	1.78993708347987
"333"	1018	0.0469102806322289	1.32873196895726
"333.1"	505	0.0232708170130409	1.63318836883933
"333.2"	164	0.00755725542601723	2.1216358989103
"333.3"	23	0.00105985899267315	2.9747519109404
"333.4"	224	0.0103221049721211	1.98623172862383
"333.8"	73	0.00336390028109304	2.47315688683754
"334"	609	0.0280632228929542	1.55186245432512
"334.1"	102	0.00470024422837657	2.32787957519608
"334.2"	176	0.00811022533523801	2.09096707914385
"334.21"	120	0.00552969909220773	2.25729850091037
"335"	391	0.0180176028754435	1.74430298956213
"337"	377	0.017372471314686	1.7601383967522
"337.1"	202	0.00930832680521635	2.03112837751137
"338"	3244	0.149486198792682	0.825398901418878
"338.1"	2541	0.117091378277499	0.931475081907627
"338.2"	1143	0.0526703838532787	1.27843351656271
"339"	110	0.00506889083452375	2.29508706179977
"340"	1408	0.0648818026819041	1.1878770921519
"340.1"	327	0.0150684300262661	1.82193199429771
"341"	319	0.0146997834201189	1.83268906390081
"342"	539	0.0248375650891664	1.60489098177126
"343"	93	0.00428551679646099	2.36799679840406
"344"	377	0.017372471314686	1.7601383967522
"345"	1780	0.082023869867748	1.0860597446491
"345.1"	675	0.0311045573936685	1.50717597412697
"345.11"	309	0.0142389751624349	1.84652126753316
"345.12"	433	0.0199529975577162	1.69999185060463
"345.3"	1622	0.0747430993963412	1.12642889708286
"346"	134	0.0061748306529653	2.20937494859319
"346.1"	322	0.0148380258974241	1.82862387526217
"346.2"	113	0.00520713331182895	2.28340130347458
"346.3"	76	0.00350214275839823	2.4556661546772
"347"	37	0.00170499055343072	2.768278022891
"348"	1286	0.0592599419381595	1.22723877836979
